CourseID,CourseName,SiteID,TutorID,StartDate,EndDate,isDeleted
1,Corso di Web & Cyber Security 28,3,5,2024-06-15,NULL,0
2,Corso di Web Developer A.I. 29,7,5,2024-06-02,NULL,0
3,Corso di Digital Media Design 30,6,1,2025-05-16,NULL,0
4,Corso di Web & Cyber Security 31,7,1,2025-10-10,NULL,0
5,Corso di Industry 4.0 & Smart Manufacturing 32,7,3,2023-07-28,2025-07-28,0
6,Corso di Industry 4.0 & Smart Manufacturing 33,2,4,2024-09-07,NULL,0
7,Corso di Tecnico TBM (Tunnel Boring Machine) 34,1,2,2024-09-29,NULL,0
8,Corso di A.I. & Data Analysis 35,7,4,2024-12-03,NULL,0
9,Corso di Tecnico TBM (Tunnel Boring Machine) 36,10,5,2023-09-07,2025-09-07,0
10,Corso di Digital Media Design 37,3,1,2024-11-15,NULL,0
