ModuleID,CourseID,TeacherID,SubjectID,ModuleHours,isDeleted
1,1,17,13,100,0
2,1,7,6,60,0
3,1,12,30,100,0
4,1,3,48,30,0
5,1,16,24,80,0
6,1,5,45,100,0
7,1,14,29,20,0
8,1,8,15,20,0
9,1,8,18,70,0
10,1,14,23,60,0
11,1,18,28,50,0
12,1,3,35,30,0
13,2,10,9,30,0
14,2,18,6,100,0
15,2,15,11,80,0
16,2,17,25,20,0
17,2,6,2,90,0
18,2,10,20,90,0
19,2,3,14,80,0
20,2,3,26,40,0
21,2,21,8,40,0
22,2,9,10,70,0
23,2,1,51,60,0
24,2,11,33,80,0
25,3,8,43,60,0
26,3,3,49,80,0
27,3,4,28,80,0
28,3,16,45,30,0
29,3,12,50,90,0
30,3,4,21,60,0
31,3,5,22,70,0
32,3,16,10,30,0
33,3,16,19,40,0
34,3,12,18,50,0
35,3,2,9,40,0
36,3,12,55,40,0
37,4,14,53,30,0
38,4,13,17,90,0
39,4,21,25,70,0
40,4,20,52,90,0
41,4,14,10,20,0
42,4,19,19,20,0
43,4,13,43,50,0
44,4,18,13,90,0
45,4,7,24,90,0
46,4,5,30,80,0
47,4,7,21,40,0
48,4,16,36,40,0
49,5,5,26,50,0
50,5,5,38,90,0
51,5,8,3,40,0
52,5,10,9,20,0
53,5,18,44,80,0
54,5,2,5,100,0
55,5,5,33,80,0
56,5,8,15,90,0
57,5,2,21,60,0
58,5,16,39,80,0
59,5,10,27,60,0
60,5,3,54,30,0
61,6,5,26,100,0
62,6,18,15,90,0
63,6,10,11,100,0
64,6,18,20,100,0
65,6,10,8,70,0
66,6,11,42,70,0
67,6,18,16,50,0
68,6,10,39,30,0
69,6,3,7,20,0
70,6,8,19,40,0
71,6,4,25,40,0
72,6,5,43,80,0
73,7,1,6,70,0
74,7,1,43,80,0
75,7,8,24,80,0
76,7,19,8,50,0
77,7,21,14,70,0
78,7,4,53,100,0
79,7,6,27,70,0
80,7,19,51,50,0
81,7,2,25,90,0
82,7,4,19,100,0
83,7,6,32,30,0
84,7,1,26,40,0
85,8,9,35,70,0
86,8,8,29,40,0
87,8,19,27,100,0
88,8,12,44,70,0
89,8,15,26,80,0
90,8,1,51,20,0
91,8,5,2,90,0
92,8,16,38,70,0
93,8,20,3,30,0
94,8,19,42,30,0
95,8,10,52,50,0
96,8,20,32,80,0
97,9,10,21,60,0
98,9,5,56,20,0
99,9,9,29,30,0
100,9,7,48,80,0
101,9,21,26,40,0
102,9,11,9,30,0
103,9,7,4,20,0
104,9,7,43,90,0
105,9,7,18,80,0
106,9,12,36,80,0
107,9,7,30,40,0
108,9,18,22,70,0
109,10,11,6,50,0
110,10,16,3,100,0
111,10,7,20,30,0
112,10,14,14,40,0
113,10,18,16,90,0
114,10,10,13,50,0
115,10,17,8,90,0
116,10,21,49,80,0
117,10,20,9,100,0
118,10,14,31,30,0
119,10,1,51,70,0
120,10,10,26,100,0
