StudentID,UserInfoID,CourseID,isDeleted
1,60,7,0
2,148,3,0
3,192,3,0
4,176,4,0
5,115,10,0
6,17,1,0
7,12,2,0
8,161,7,0
9,11,7,0
10,186,8,0
11,120,3,0
12,195,1,0
13,111,5,0
14,54,5,0
15,103,9,0
16,2,8,0
17,75,3,0
18,129,10,0
19,71,4,0
20,109,5,0
21,121,3,0
22,151,7,0
23,172,6,0
24,25,6,0
25,85,6,0
26,65,10,0
27,163,3,0
28,117,4,0
29,157,9,0
30,45,2,0
31,73,1,0
32,135,9,0
33,166,5,0
34,189,1,0
35,134,9,0
36,93,4,0
37,82,8,0
38,177,10,0
39,123,1,0
40,174,2,0
41,57,4,0
42,58,2,0
43,70,5,0
44,23,8,0
45,142,5,0
46,155,1,0
47,180,1,0
48,27,2,0
49,183,5,0
50,72,2,0
51,128,1,0
52,112,7,0
53,146,6,0
54,87,6,0
55,31,7,0
56,1,9,0
57,40,1,0
58,188,10,0
59,35,5,0
60,144,2,0
61,88,7,0
62,165,7,0
63,184,3,0
64,141,1,0
65,5,2,0
66,69,3,0
67,10,3,0
68,100,1,0
69,150,5,0
70,107,7,0
71,193,9,0
72,114,7,0
73,200,7,0
74,53,6,0
75,179,9,0
76,147,2,0
77,15,8,0
78,106,8,0
79,185,10,0
80,138,9,0
81,38,4,0
82,152,5,0
83,92,4,0
84,153,10,0
85,80,6,0
86,61,4,0
87,122,3,0
88,110,1,0
89,52,6,0
90,51,5,0
91,7,4,0
92,28,6,0
93,181,6,0
94,98,10,0
95,3,9,0
96,34,4,0
97,160,6,0
98,199,8,0
99,131,1,0
100,32,10,0
