CourseID,CourseName,CourseNumber,SiteID,TutorID,StartDate,EndDate,isDeleted
1,Corso di Web Developer A.I.,29,5,1,2021-12-20,2023-12-20,0
2,Corso di Web Developer A.I.,30,5,3,2022-02-03,2024-02-03,0
3,Corso di Tecnico TBM (Tunnel Boring Machine),31,3,4,2023-02-14,2025-02-14,0
4,Corso di A.I. & Data Analysis,32,5,2,2024-07-16,NULL,0
5,Corso di Web Developer A.I.,33,9,1,2025-01-09,NULL,0
6,Corso di A.I. & Data Analysis,34,4,5,2022-02-05,2024-02-05,0
7,Corso di Digital Media Design,35,3,5,2024-06-17,NULL,0
8,Corso di A.I. & Data Analysis,36,1,4,2021-10-28,2023-10-28,0
9,Corso di Industry 4.0 & Smart Manufacturing,37,6,1,2024-01-26,NULL,0
10,Corso di Industry 4.0 & Smart Manufacturing,38,10,4,2024-08-25,NULL,0
