StudentID,UserInfoID,CourseID,isDeleted
1,6,10,0
2,69,5,0
3,113,4,0
4,21,1,0
5,75,2,0
6,158,9,0
7,197,6,0
8,22,3,0
9,200,9,0
10,186,4,0
11,3,5,0
12,82,5,0
13,100,5,0
14,142,9,0
15,134,6,0
16,43,3,0
17,28,8,0
18,144,10,0
19,92,2,0
20,193,2,0
21,146,10,0
22,48,9,0
23,49,10,0
24,42,7,0
25,40,3,0
26,90,3,0
27,87,5,0
28,30,7,0
29,147,4,0
30,84,10,0
31,36,1,0
32,59,8,0
33,171,7,0
34,156,6,0
35,10,7,0
36,89,9,0
37,161,3,0
38,175,9,0
39,85,1,0
40,122,9,0
41,44,2,0
42,14,5,0
43,70,2,0
44,71,5,0
45,19,2,0
46,126,3,0
47,153,10,0
48,149,2,0
49,124,8,0
50,120,4,0
51,196,7,0
52,65,7,0
53,2,7,0
54,54,3,0
55,119,6,0
56,47,8,0
57,24,3,0
58,37,10,0
59,199,8,0
60,4,4,0
61,112,2,0
62,91,7,0
63,60,10,0
64,81,9,0
65,190,7,0
66,9,2,0
67,97,5,0
68,155,5,0
69,188,4,0
70,20,7,0
71,164,9,0
72,165,1,0
73,118,4,0
74,131,9,0
75,39,8,0
76,137,10,0
77,80,1,0
78,56,1,0
79,25,10,0
80,168,4,0
81,13,5,0
82,32,4,0
83,129,3,0
84,1,5,0
85,107,3,0
86,74,9,0
87,152,4,0
88,182,5,0
89,180,5,0
90,63,10,0
91,170,5,0
92,31,8,0
93,34,3,0
94,98,9,0
95,150,6,0
96,68,8,0
97,93,7,0
98,159,2,0
99,185,4,0
100,79,10,0
